repo,file,total_ccn,max_ccn,function_count,total_nloc,n_revs,hotspot_score
posx-ugaoo-backend,src/jobs/inventory-snapshot.ts,39,34,6,186,10,390
posx-mokobara-backend,src/workflows/cart/steps/add-freebies-step.ts,43,37,6,158,9,387
posx-mokobara-backend,src/lib/helpers/calculate-online-coupon-discount.ts,43,10,21,212,9,387
posx-comet-backend,src/lib/helpers/save-gift-card-to-order.ts,35,21,4,141,11,385
posx-eume-admin,src/routes/order-details/order-list/components/order-report-grid.tsx,55,11,27,195,7,385
posx-eume-admin,src/routes/store-coupons/coupon-edit/components/edit-coupon-form.tsx,55,18,13,219,7,385
posx-eume-store,src/components/exchange/ExchangeOrderDetails.tsx,35,14,8,162,11,385
posx-ugaoo-admin,src/routes/gst-info/gst-info-cross-check/gst-info-cross-check.tsx,55,17,18,355,7,385
posx-eume-store,src/pages/online-orders/details/payment-details.tsx,48,13,16,191,8,384
posx-frido-admin,src/routes/freebies/common/components/product-selection/product-selection.tsx,128,28,54,643,3,384
posx-mokobara-backend,src/api/adsr/order-payment/route.ts,48,19,10,299,8,384
